iter	Passed	Remaining
410	3801	5448
411	3808	5436
412	3815	5423
413	3821	5409
414	3829	5397
415	3836	5385
416	3843	5373
417	3851	5361
418	3858	5349
419	3865	5337
420	3872	5326
421	3879	5312
422	3885	5299
423	3891	5286
424	3897	5273
425	3903	5260
426	3909	5246
427	3915	5232
428	3921	5219
429	3926	5205
430	3932	5192
431	3939	5179
432	3945	5166
433	3951	5153
434	3958	5141
435	3964	5127
436	3969	5113
437	3974	5099
438	3979	5085
439	3985	5071
440	3990	5058
441	3996	5044
442	4001	5031
443	4009	5020
444	4015	5007
445	4023	4997
446	4045	5004
447	4053	4994
448	4062	4985
449	4070	4974
450	4078	4964
451	4083	4950
452	4090	4938
453	4095	4925
454	4102	4913
455	4108	4901
456	4113	4888
457	4121	4877
458	4130	4868
459	4139	4859
460	4146	4848
461	4152	4835
462	4158	4823
463	4166	4812
464	4172	4800
465	4177	4786
466	4183	4774
467	4191	4764
468	4197	4752
469	4205	4741
470	4216	4735
471	4223	4725
472	4229	4711
473	4236	4701
474	4242	4688
475	4248	4676
476	4253	4663
477	4260	4652
478	4273	4647
479	4279	4635
480	4286	4624
481	4293	4613
482	4300	4603
483	4307	4592
484	4314	4580
485	4321	4570
486	4326	4557
487	4334	4548
488	4345	4540
489	4354	4531
490	4364	4524
491	4371	4513
492	4378	4502
493	4385	4491
494	4392	4481
495	4399	4470
496	4406	4459
497	4412	4448
498	4419	4437
499	4425	4425
500	4432	4414
501	4438	4403
502	4445	4392
503	4452	4382
504	4460	4371
505	4467	4361
506	4473	4350
507	4479	4338
508	4485	4327
509	4490	4314
510	4496	4302
511	4503	4292
512	4509	4280
513	4515	4269
514	4521	4258
515	4527	4246
516	4531	4233
517	4537	4222
518	4542	4210
519	4548	4198
520	4556	4188
521	4564	4179
522	4571	4169
523	4578	4159
524	4585	4148
525	4590	4136
526	4596	4125
527	4602	4114
528	4608	4103
529	4614	4092
530	4620	4080
531	4625	4069
532	4630	4057
533	4636	4046
534	4642	4035
535	4647	4023
536	4652	4011
537	4658	4000
538	4664	3989
539	4670	3978
540	4699	3986
541	4708	3978
542	4715	3968
543	4730	3964
544	4746	3962
545	4757	3956
546	4768	3949
547	4777	3940
548	4787	3932
549	4794	3922
550	4802	3913
551	4811	3905
552	4820	3896
553	4828	3886
554	4835	3877
555	4842	3867
556	4849	3856
557	4855	3846
558	4860	3834
559	4865	3823
560	4870	3811
561	4875	3800
562	4883	3790
563	4889	3779
564	4893	3767
565	4898	3756
566	4903	3744
567	4909	3733
568	4914	3722
569	4920	3712
570	4926	3701
571	4931	3689
572	4935	3678
573	4943	3668
574	4951	3659
575	4956	3648
576	4961	3637
577	4968	3627
578	4978	3620
579	4988	3612
580	4996	3603
581	5002	3592
582	5007	3581
583	5013	3571
584	5019	3560
585	5023	3549
586	5028	3537
587	5033	3527
588	5041	3517
589	5047	3507
590	5055	3498
591	5062	3489
592	5068	3478
593	5074	3468
594	5081	3458
595	5090	3450
596	5100	3442
597	5106	3432
598	5113	3423
599	5123	3415
600	5132	3407
601	5140	3398
602	5149	3390
603	5158	3381
604	5166	3373
605	5176	3365
606	5184	3356
607	5194	3348
608	5203	3340
609	5211	3331
610	5220	3323
611	5228	3314
612	5235	3305
613	5243	3296
614	5248	3285
615	5316	3313
616	5351	3321
617	5366	3316
618	5374	3307
619	5381	3298
620	5410	3302
621	5417	3292
622	5427	3284
623	5436	3275
624	5449	3269
625	5460	3262
626	5466	3252
627	5472	3241
628	5478	3231
629	5484	3220
630	5489	3210
631	5494	3199
632	5499	3188
633	5504	3177
634	5510	3167
635	5516	3156
636	5521	3146
637	5527	3136
638	5531	3125
639	5537	3114
640	5541	3103
641	5547	3093
642	5555	3084
643	5562	3075
644	5568	3064
645	5572	3053
646	5579	3044
647	5585	3033
648	5590	3023
649	5595	3013
650	5601	3002
651	5606	2992
652	5611	2981
653	5616	2971
654	5622	2961
655	5628	2951
656	5634	2941
657	5640	2931
658	5647	2922
659	5654	2912
660	5662	2904
661	5668	2894
662	5673	2883
663	5680	2874
664	5686	2864
665	5693	2855
666	5697	2844
667	5703	2834
668	5708	2824
