iter	Logloss
182	0.1238481367
183	0.1236835474
184	0.1235312191
185	0.1233633924
186	0.1232801545
187	0.1230442188
188	0.122855821
189	0.1227508777
190	0.1226490485
191	0.1225590059
192	0.122459553
193	0.1223292153
194	0.122262071
195	0.1221847266
196	0.1220216772
197	0.1219816071
198	0.1218521166
199	0.1217179793
200	0.1216538711
201	0.1215999464
202	0.1214846345
203	0.1214533604
204	0.1212864815
205	0.1212729103
206	0.1211098665
207	0.1210238379
208	0.1209261655
209	0.1208484032
210	0.1207875725
211	0.120687388
212	0.1205247476
213	0.1204368414
214	0.120325251
215	0.1202803835
216	0.1202262517
217	0.1200930404
218	0.1199531616
219	0.1199058928
220	0.1198231384
221	0.1197354244
222	0.1196623724
223	0.119582864
224	0.1194555455
225	0.1193476588
226	0.1193389973
227	0.1192679649
228	0.1191920423
229	0.1191082567
230	0.1189886286
231	0.1189198008
232	0.1188241853
233	0.1187177242
234	0.1186076798
235	0.1185526491
236	0.1184381687
237	0.1183365039
238	0.1182630812
239	0.118192961
240	0.1181684332
241	0.1181003057
242	0.1179362967
243	0.1178694503
244	0.117759552
245	0.1176567869
246	0.1175484892
247	0.1174967329
248	0.117413851
249	0.1172963692
250	0.1171089291
251	0.1169976364
252	0.116914501
253	0.116844093
254	0.1167961358
255	0.1167172079
256	0.1166216223
257	0.1165660673
258	0.1164587707
259	0.1163912066
260	0.1163241618
261	0.1162697802
262	0.1162230736
263	0.1160772701
264	0.1159624814
265	0.1159030046
266	0.1158411935
267	0.1157543058
268	0.1156579433
269	0.1156013869
270	0.1155356382
271	0.1154943662
272	0.1154134019
273	0.115327393
274	0.115254055
275	0.1151801252
276	0.1150992896
277	0.1150494355
278	0.1149817367
279	0.1149769201
280	0.1149280664
281	0.1148941145
282	0.1147926313
283	0.1146507856
284	0.1146130632
285	0.1145441778
286	0.1144783002
287	0.1144266427
288	0.1144025287
289	0.1143014418
290	0.1142491176
291	0.1141586621
292	0.1140378169
293	0.1139497943
294	0.1138466358
295	0.1137798381
296	0.1136595242
297	0.1135998738
298	0.1134988724
299	0.1134363334
300	0.1133623105
301	0.1133272855
302	0.1132850512
303	0.1132064327
304	0.113100374
305	0.1130193348
306	0.1129564531
307	0.1129267267
308	0.1128321168
309	0.11275723
310	0.1126565204
311	0.1125719881
312	0.1124924548
313	0.1124225259
314	0.1123974869
315	0.112315214
316	0.1122873592
317	0.1122298527
318	0.1121675514
319	0.1120900544
320	0.1120219862
321	0.1119379237
322	0.1118933285
323	0.1118202584
324	0.1116965156
325	0.1116960524
326	0.111606387
327	0.1115465749
328	0.1114947133
329	0.1114830165
330	0.1114274462
331	0.1113675642
332	0.1113209428
333	0.1112928465
334	0.1112420439
335	0.1111469643
336	0.1111008551
337	0.1110211547
338	0.1110140198
339	0.1109586811
340	0.1109491009
341	0.1108688484
342	0.1107737433
343	0.1107474387
344	0.1107052245
345	0.110625413
346	0.1105785335
347	0.1105781464
348	0.1105269
349	0.1104007903
350	0.1103254493
351	0.1102984044
352	0.1102977534
353	0.1102303065
354	0.1101367586
355	0.1100755707
356	0.1100706903
357	0.110029486
358	0.1100054524
359	0.1099835294
360	0.1099828255
361	0.1099181115
362	0.1098008392
363	0.1097517037
364	0.1096655973
365	0.1096079819
366	0.1095723719
367	0.1095721943
368	0.1095082666
369	0.1094988128
370	0.1094982127
371	0.1094536831
372	0.1093876922
373	0.1093807243
374	0.1092918746
375	0.1092583638
376	0.1091886719
377	0.1091481389
378	0.1090946693
379	0.1090227233
380	0.108991554
381	0.1089442998
382	0.1089437448
383	0.1088765981
384	0.1088505452
385	0.1087914167
386	0.1087191384
387	0.1086826057
388	0.1085930328
389	0.1085497616
390	0.108454556
391	0.10840234
392	0.1083426882
393	0.1083096553
394	0.108278218
395	0.1082242394
396	0.1081257039
397	0.1081028755
398	0.1080576661
399	0.1080153157
400	0.107968122
401	0.10789625
402	0.1078560574
403	0.1077435989
404	0.1076954745
405	0.1076359513
406	0.1076022156
407	0.1075738688
408	0.1075188992
409	0.107490744
410	0.1074497175
411	0.1074109011
412	0.1073559701
413	0.1073448909
414	0.1073090395
415	0.1072603816
416	0.1072599041
417	0.1072207706
418	0.107160011
419	0.1071207071
420	0.1070581704
421	0.1070127765
422	0.1069320914
423	0.1068964663
424	0.1068168263
425	0.1067711322
426	0.1067510288
427	0.1066682639
428	0.1065845095
429	0.1065382461
430	0.1065033899
431	0.1064678796
432	0.1064043351
433	0.1063515834
434	0.1063111477
435	0.106248489
436	0.1062100126
437	0.1061378494
438	0.1061377257
439	0.1060973085
440	0.1060618891
441	0.1060294612
442	0.1059606314
443	0.1059204995
444	0.1058855051
445	0.1058138071
446	0.105778475
447	0.1057173358
448	0.1056862933
449	0.1056862712
450	0.1056169059
451	0.1056168668
452	0.1055811408
453	0.1055811002
454	0.1055379545
455	0.1054827167
456	0.1054826365
457	0.1054675716
458	0.1053883651
459	0.1053389223
460	0.1052753503
461	0.1052408819
462	0.1052333094
463	0.1051896291
464	0.105148098
465	0.1051480782
466	0.1051161243
467	0.1050666978
468	0.1050666696
469	0.1050219324
470	0.1050042606
471	0.1049843005
472	0.1049842628
473	0.104933482
474	0.1049334646
475	0.1048371616
476	0.1048368064
477	0.1047837361
478	0.1047303693
479	0.1047151343
480	0.1046379433
481	0.1046175194
482	0.1045610605
483	0.1045386964
484	0.104499699
485	0.1044717503
486	0.1044717263
487	0.1044489713
488	0.1044209937
489	0.104395716
490	0.104355942
491	0.1043227454
492	0.1042545572
493	0.104218291
494	0.1041618804
495	0.1041152285
496	0.1040382411
497	0.1039879065
498	0.103946748
499	0.1039186835
500	0.1039142098
501	0.1038730412
502	0.1038066144
503	0.1037753794
504	0.103758213
505	0.1037182337
506	0.103679278
507	0.1036302685
508	0.1035809145
509	0.1035808274
510	0.1035311022
511	0.1034815627
512	0.1034425768
513	0.1034263262
514	0.1034095912
515	0.1033431858
516	0.1033431572
517	0.1032799014
518	0.103279877
519	0.1032295265
520	0.1031724111
521	0.1031275607
522	0.1030936271
523	0.1030675377
524	0.1030193492
525	0.103003099
526	0.1029698912
527	0.102921987
528	0.1028799193
529	0.1028196521
530	0.1028037636
531	0.102761657
532	0.1027614512
533	0.1026997572
534	0.1026427254
535	0.1026109003
536	0.1026108611
537	0.1025817546
538	0.1025477875
539	0.1024915984
540	0.1024915343
541	0.1024126975
542	0.1023903883
543	0.1023402624
544	0.1023183405
545	0.1022445414
546	0.1021948188
547	0.1021570797
548	0.1021212888
549	0.1021212535
550	0.1020869937
551	0.1020294539
552	0.1019987721
553	0.1019683911
554	0.1019469959
555	0.1019407787
556	0.1019311205
557	0.1019311352
558	0.1019311081
559	0.1019310566
560	0.1019310486
561	0.1019310225
562	0.1018950728
563	0.1018950489
564	0.101895058
565	0.1018950828
566	0.1018949774
567	0.1018950341
568	0.1018950175
569	0.1018949859
570	0.1018949534
571	0.1018948547
572	0.1018948671
573	0.1018948603
574	0.1018948469
575	0.1018947769
576	0.1018948314
577	0.1018947957
578	0.1018947811
579	0.1018947757
580	0.1018947063
581	0.1018946053
582	0.1018946137
583	0.1018946295
584	0.1018946427
585	0.101894628
586	0.1018946754
587	0.1018946633
588	0.1018678714
589	0.1018679038
590	0.1018679395
591	0.1018679388
592	0.1018679856
593	0.1018679313
594	0.1018679374
595	0.1018679216
596	0.1018678831
597	0.1018678756
598	0.101867869
599	0.1018678776
600	0.101867875
601	0.1018678635
602	0.1018678719
603	0.1018678882
604	0.101867871
605	0.1018678576
606	0.1018678112
607	0.1018678345
608	0.1018678247
609	0.1018678078
610	0.1018677605
611	0.1018677319
612	0.1018677178
613	0.1018676989
614	0.1018676193
615	0.1018675919
616	0.1018676072
617	0.1018675926
618	0.1018675588
619	0.1018675944
620	0.1018675756
621	0.1018675463
622	0.1018674973
623	0.1018675283
624	0.1018675228
625	0.1018674174
626	0.1018673865
627	0.1018673752
628	0.1018673622
629	0.1018672968
630	0.1018673576
631	0.10186736
632	0.101867286
633	0.101867307
634	0.1018672397
635	0.1018672415
636	0.1018672119
637	0.1018672256
638	0.101867173
639	0.1018671217
640	0.1018671151
641	0.1018671457
642	0.1018670756
643	0.1018671003
644	0.1018671252
645	0.1018670808
646	0.1018671201
647	0.1018670804
648	0.1018670091
649	0.1018670215
650	0.101866891
651	0.1018668432
652	0.1018668213
653	0.1018668569
654	0.1018668284
655	0.1018264111
656	0.1018090918
657	0.1017709542
658	0.1017709191
659	0.1017709215
660	0.1017709311
661	0.1017709292
662	0.1017708101
663	0.1017120109
664	0.1016976415
665	0.1016618925
666	0.1016618562
667	0.101615261
668	0.1016151906
669	0.1016151906
670	0.1016151144
671	0.1016151117
672	0.1016150682
673	0.1016150742
674	0.101615071
675	0.1016150189
676	0.1016150606
677	0.1016149143
678	0.1016148641
679	0.1016148388
680	0.101614799
681	0.101614791
682	0.1016148472
683	0.1016147581
684	0.1016147661
685	0.1016146618
686	0.1016147019
687	0.101614702
688	0.1016146789
689	0.1016146484
690	0.101614596
691	0.1016145902
692	0.1016145394
693	0.1016145769
694	0.1016145887
695	0.1016145498
696	0.1016145519
697	0.1016145554
698	0.1016145194
699	0.1016145105
700	0.1016145226
701	0.1016145116
702	0.1016144207
703	0.1016037613
704	0.1016037418
705	0.101541133
706	0.101541086
707	0.1015004513
708	0.1015003807
709	0.1015004189
710	0.1015003608
711	0.1015004067
712	0.1015003914
713	0.1015003742
714	0.1015003164
715	0.1015003325
716	0.1015003125
717	0.1015003095
718	0.1015002929
719	0.101500259
720	0.1015002892
721	0.1015003356
722	0.1015002884
723	0.1015002309
724	0.1015001832
725	0.101500265
726	0.1015002493
727	0.1014624267
728	0.1014293742
729	0.1014294044
730	0.1014293669
731	0.1014292969
732	0.1014292794
733	0.1014292786
734	0.1014292361
735	0.1014292339
736	0.1014292372
737	0.1014291728
738	0.101429205
739	0.1014291696
740	0.1014291601
741	0.1014291538
742	0.1014290924
743	0.1014290683
744	0.1014291007
745	0.1014291219
746	0.1014290368
747	0.1014290049
748	0.1014289771
749	0.1014289736
750	0.1014289981
751	0.1014289957
752	0.1013981814
753	0.1013752616
754	0.1013749713
755	0.1013749786
756	0.1013749856
757	0.1013748954
758	0.1013748781
759	0.1013748684
760	0.101374866
761	0.1013748854
762	0.1013748834
763	0.1013749339
764	0.1013748887
765	0.1013748729
766	0.1013748769
767	0.1013748877
768	0.1013748713
769	0.1013748351
770	0.1013748456
771	0.1013748683
772	0.1013748548
773	0.101374857
774	0.101374857
775	0.1013342268
776	0.1012882973
777	0.10128832
778	0.1012517517
779	0.1012517142
780	0.1012516887
781	0.1012517082
782	0.1012516799
783	0.101251661
784	0.1012516879
785	0.1012516639
786	0.1012516096
787	0.1012516307
788	0.1012515371
789	0.1012515746
790	0.1012515563
791	0.1012515164
792	0.1012515157
793	0.1012515091
794	0.1012515127
795	0.1012514721
796	0.1012514652
797	0.1012514549
798	0.1012514546
799	0.1012514544
800	0.1012514836
801	0.1012514295
802	0.1012514118
803	0.1012514049
804	0.1012513915
805	0.1012513219
806	0.1012513196
807	0.1012512494
808	0.1012512337
809	0.1012512469
810	0.1012512536
811	0.1012512783
812	0.1012511855
813	0.1012511962
814	0.1012511915
815	0.1012511922
816	0.1012511879
817	0.1012511223
818	0.1012511443
819	0.1012511385
820	0.1012511271
821	0.1012511521
822	0.1012510542
823	0.1012510474
824	0.1012510494
825	0.1012510334
826	0.1012510127
827	0.1012510112
828	0.1012510317
829	0.1012509953
830	0.1012508641
831	0.101250891
832	0.1012509003
833	0.1012508217
834	0.101250781
835	0.1012507713
836	0.1012507888
837	0.1012507244
838	0.1012506866
839	0.1012506437
840	0.1012506204
841	0.1012506552
842	0.1012505756
843	0.1012505683
844	0.1012505761
845	0.1012505821
846	0.1012505883
847	0.1012505999
848	0.1012505239
849	0.1012504953
850	0.1012504975
851	0.1012505118
852	0.1012505451
853	0.1012505632
854	0.101250556
855	0.1012504847
856	0.1012504766
857	0.1012504654
858	0.1012504384
859	0.1012504577
860	0.1012504579
861	0.1012504694
862	0.1012504778
863	0.1012504678
864	0.1012504634
865	0.1012504485
866	0.1012504094
867	0.1012504287
868	0.1012504041
869	0.1012361391
870	0.1011727872
871	0.1011726683
872	0.101136674
873	0.1011366287
874	0.1011098055
875	0.1010813708
876	0.1010542766
877	0.1009921023
878	0.1009919751
879	0.1009392064
880	0.1009050372
881	0.1008664382
882	0.1008664699
883	0.1008314033
884	0.1008251886
885	0.1007886956
886	0.1007886873
887	0.1007886835
888	0.1007887274
889	0.1007887003
890	0.100788669
891	0.1007886954
892	0.1007886699
893	0.1007886173
894	0.1007886167
895	0.1007886093
896	0.1007886369
897	0.1007886301
898	0.1007886396
899	0.1007886378
900	0.100788647
901	0.1007886362
902	0.1007886453
903	0.100788594
904	0.1007885822
905	0.1007885768
906	0.1007886015
907	0.1007885863
908	0.1007886015
909	0.1007884871
910	0.1007884818
911	0.1007884601
912	0.1007884391
913	0.1007884102
914	0.1007884003
915	0.1007883803
916	0.1007883586
917	0.1007883771
918	0.1007882947
919	0.100788296
920	0.1007882925
921	0.1007882837
922	0.1007882547
923	0.1007882251
924	0.1007882294
925	0.1007882368
926	0.1007882231
927	0.1007882131
928	0.1007881911
929	0.1007881651
930	0.1007881754
931	0.100788138
932	0.1007881565
933	0.1007881737
934	0.100788134
935	0.1007881423
936	0.1007880953
937	0.100788095
938	0.1007881113
939	0.1007881027
940	0.1007880844
941	0.1007745295
942	0.1007228979
943	0.1007024184
944	0.1006654265
945	0.1006528354
946	0.10060854
947	0.1005744978
948	0.1005148264
949	0.1005148337
950	0.1004794915
951	0.1004661353
952	0.1004423672
953	0.1003762079
954	0.1003761534
955	0.1003533545
956	0.1003429475
957	0.1003370567
958	0.1002993502
959	0.1002433887
960	0.1002433275
961	0.1002047201
962	0.1002046938
963	0.1001697205
964	0.1001696869
965	0.1001696843
966	0.1001696988
967	0.1001696476
968	0.1001696858
969	0.1001696304
970	0.1001696027
971	0.1001696123
972	0.1001696121
973	0.1001696592
974	0.1001695805
975	0.1001696045
976	0.1001695874
977	0.1001696019
978	0.1001696216
979	0.1001695372
980	0.1001695525
981	0.1001430167
982	0.1001430008
983	0.1001119747
984	0.1001119607
985	0.1000702538
986	0.1000702601
987	0.1000702361
988	0.1000702083
989	0.1000702405
990	0.1000701635
991	0.1000701681
992	0.100070158
993	0.1000701667
994	0.1000700997
995	0.1000437434
996	0.1000159179
997	0.09996582889
998	0.09996580962
999	0.09996578197
